age,gender,weight,resting_heart_rate,avg_steps_per_day,calories_burned,workout_history,workout_type
18,F,73.6,63,5159,2503,pilates,pilates
18,M,72.6,62,6652,2609,yoga,yoga
31,F,60.6,64,10488,2973,pilates,pilates
18,M,75.8,59,11431,2585,hiit,hiit
18,M,79.0,57,9796,3238,hiit,hiit
29,F,54.3,65,9151,2759,pilates,pilates
18,F,45.0,70,7869,2382,pilates,pilates
18,M,59.9,50,7723,2951,hiit,hiit
18,F,74.5,56,13798,3107,cardio,cardio
25,F,45.0,63,8249,2725,pilates,pilates
18,M,67.8,63,9431,2888,cycling,cycling
18,M,59.4,65,8684,2808,pilates,pilates
31,F,82.8,57,6394,2823,pilates,pilates
43,M,52.3,64,8873,2477,yoga,yoga
20,F,62.3,63,5265,2124,pilates,pilates
18,M,46.3,64,5539,2165,cycling,cycling
18,M,51.4,50,13683,3194,cardio,cardio
18,F,54.5,70,4109,2472,pilates,pilates
18,M,53.1,64,4769,2549,yoga,yoga
24,F,58.1,58,3695,2727,pilates,pilates
31,F,45.0,66,7284,2813,yoga,pilates
18,F,59.8,50,8856,2757,hiit,hiit
18,F,63.6,59,7486,3007,cycling,cycling
20,F,52.2,61,6269,2460,yoga,yoga
20,F,60.3,65,5862,2418,pilates,pilates
18,M,52.5,64,7947,2893,cycling,cycling
18,F,46.2,68,6085,2505,hiit,strength
18,F,45.0,59,12107,3044,cardio,cardio
18,F,49.2,64,5868,2672,pilates,pilates
19,M,72.7,54,6412,3119,strength,strength
18,M,59.4,52,4037,2496,pilates,pilates
18,F,60.5,60,9511,2920,hiit,hiit
24,M,73.4,66,6716,2833,yoga,yoga
18,M,84.3,60,5137,2931,strength,strength
36,F,74.6,69,6017,2283,yoga,yoga
18,F,67.4,67,8878,3196,cardio,hiit
29,F,51.8,64,6691,2815,pilates,pilates
18,M,57.8,66,7757,2875,strength,strength
23,F,63.1,55,10920,2735,cardio,cardio
22,F,59.0,63,3003,2710,strength,strength
28,M,75.2,70,8305,3100,cycling,cycling
25,F,58.6,64,6324,2386,pilates,pilates
20,F,51.5,63,7325,2907,yoga,yoga
18,M,68.2,50,11565,2991,cardio,cardio
18,F,59.8,50,12707,3031,cardio,cardio
18,M,55.8,54,9797,2928,cycling,cycling
18,M,68.3,50,10714,3500,hiit,hiit
18,F,64.7,66,5456,2759,yoga,yoga
19,M,58.5,59,11329,2715,hiit,cardio
18,M,72.0,63,10314,2754,hiit,hiit
18,M,73.1,58,9229,2965,hiit,hiit
18,F,68.0,50,13091,3127,hiit,hiit
18,F,50.3,52,11282,2838,hiit,hiit
18,M,64.9,61,10290,2589,cycling,cycling
18,F,45.0,60,6455,2443,pilates,pilates
31,M,61.2,65,5245,2212,yoga,yoga
32,F,46.2,66,8253,2529,pilates,pilates
30,M,56.8,58,6193,2007,yoga,pilates
20,M,92.3,63,5524,2730,pilates,pilates
18,F,45.0,50,12587,2902,hiit,hiit
18,M,84.9,64,12889,3500,cardio,cardio
18,M,67.2,61,8467,2837,pilates,pilates
23,M,59.5,57,9450,2799,cardio,cardio
20,F,59.5,60,8750,2671,strength,strength
18,F,56.1,63,3708,2620,hiit,strength
18,M,74.4,50,4404,2914,cycling,cycling
18,M,64.3,50,8169,2820,hiit,hiit
18,F,46.7,57,6995,2874,cycling,cycling
18,M,71.4,57,7102,2826,cycling,cycling
30,M,75.5,66,6151,2891,pilates,yoga
18,M,61.1,50,11466,2656,cardio,cardio
18,M,70.0,56,7562,2540,cardio,hiit
26,F,45.0,64,4044,2286,strength,strength
20,F,45.0,50,11161,2886,hiit,hiit
18,F,69.5,67,5950,2924,yoga,yoga
18,M,76.9,55,10548,2979,hiit,hiit
18,M,64.0,69,6732,2512,yoga,yoga
18,F,54.4,62,9713,2506,cardio,cardio
18,M,45.0,59,13146,2870,cardio,cardio
18,M,58.7,56,4255,2571,yoga,yoga
18,M,54.1,51,5238,2789,hiit,hiit
18,F,81.4,71,5894,2432,yoga,yoga
18,F,45.0,50,8457,2904,hiit,hiit
18,F,56.4,54,8556,2920,hiit,hiit
18,M,82.5,55,12182,2765,cycling,cardio
18,M,75.0,50,10908,3409,hiit,hiit
18,M,76.5,55,10045,2786,cardio,cardio
18,M,68.2,73,7199,2882,yoga,yoga
30,F,75.8,70,7206,2834,pilates,pilates
18,M,54.7,63,10472,2953,yoga,yoga
18,F,53.3,53,10288,2832,hiit,hiit
30,F,80.9,80,6551,2898,yoga,yoga
18,F,53.3,66,15000,2970,cardio,cardio
18,F,59.2,50,11512,2702,hiit,hiit
18,M,65.9,64,10851,2719,hiit,hiit
18,M,59.6,56,7617,2464,yoga,yoga
21,F,73.5,54,8740,2981,pilates,pilates
18,M,71.5,64,10612,2779,strength,hiit
18,F,53.7,53,7235,2780,cardio,cycling
18,M,69.0,58,4089,2724,pilates,pilates
18,F,53.5,56,14362,2965,cardio,cardio
